CustomerKey|SalesTerritoryKey|First Name|Middle Name|Last Name|Birth Date|Marital Status|Gender|Email Address|Yearly Income|Total Children|Children at Home|Education|Occupation|Home Owner|Cars Owned|Street Address|City|State/Province|Postal Code|CountryRegionCode|Initial Purchase Date|Commute Distance
11000|9|Jon|V|Yang|1971-10-06|M|M|jon24@adventure-works.com|90000.00|2|0|Bachelors|Professional|1|0|3761 N. 14th St|Rockhampton|QLD|4700|AU|2011-01-19|1-2 Miles
11001|9|Eugene|L|Huang|1976-05-10|S|M|eugene10@adventure-works.com|60000.00|3|3|Bachelors|Professional|0|1|2243 W St.|Seaford|VIC|3198|AU|2011-01-15|0-1 Miles
11002|9|Ruben|NULL|Torres|1971-02-09|M|M|ruben35@adventure-works.com|60000.00|3|3|Bachelors|Professional|1|1|5844 Linden Land|Hobart|TAS|7001|AU|2011-01-07|2-5 Miles
11003|9|Christy|NULL|Zhu|1973-08-14|S|F|christy12@adventure-works.com|70000.00|0|0|Bachelors|Professional|0|1|1825 Village Pl.|North Ryde|NSW|2113|AU|2010-12-29|5-10 Miles
11004|9|Elizabeth|NULL|Johnson|1979-08-05|S|F|elizabeth5@adventure-works.com|80000.00|5|5|Bachelors|Professional|1|4|7553 Harness Circle|Wollongong|NSW|2500|AU|2011-01-23|1-2 Miles
11005|9|Julio|NULL|Ruiz|1976-08-01|S|M|julio1@adventure-works.com|70000.00|0|0|Bachelors|Professional|1|1|7305 Humphrey Drive|East Brisbane|QLD|4169|AU|2010-12-30|5-10 Miles
11006|9|Janet|G|Alvarez|1976-12-02|S|F|janet9@adventure-works.com|70000.00|0|0|Bachelors|Professional|1|1|2612 Berry Dr|Matraville|NSW|2036|AU|2011-01-24|5-10 Miles
11007|9|Marco|NULL|Mehta|1969-11-06|M|M|marco14@adventure-works.com|60000.00|3|3|Bachelors|Professional|1|2|942 Brook Street|Warrnambool|VIC|3280|AU|2011-01-09|0-1 Miles
11008|9|Rob|NULL|Verhoff|1975-07-04|S|F|rob4@adventure-works.com|60000.00|4|4|Bachelors|Professional|1|3|624 Peabody Road|Bendigo|VIC|3550|AU|2011-01-25|10+ Miles
11009|9|Shannon|C|Carlson|1969-09-29|S|M|shannon38@adventure-works.com|70000.00|0|0|Bachelors|Professional|0|1|3839 Northgate Road|Hervey Bay|QLD|4655|AU|2011-01-27|5-10 Miles
11010|9|Jacquelyn|C|Suarez|1969-08-05|S|F|jacquelyn20@adventure-works.com|70000.00|0|0|Bachelors|Professional|0|1|7800 Corrinne Court|East Brisbane|QLD|4169|AU|2011-01-14|5-10 Miles
11011|9|Curtis|NULL|Lu|1969-05-03|M|M|curtis9@adventure-works.com|60000.00|4|4|Bachelors|Professional|1|4|1224 Shoenic|East Brisbane|QLD|4169|AU|2010-12-30|10+ Miles
11012|1|Lauren|M|Walker|1979-01-14|M|F|lauren41@adventure-works.com|100000.00|2|0|Bachelors|Management|1|2|4785 Scott Street|Bremerton|WA|98312|US|2013-03-16|1-2 Miles
11013|1|Ian|M|Jenkins|1979-08-03|M|M|ian47@adventure-works.com|100000.00|2|0|Bachelors|Management|1|3|7902 Hudson Ave.|Lebanon|OR|97355|US|2013-04-13|0-1 Miles
11014|1|Sydney|NULL|Bennett|1973-11-06|S|F|sydney23@adventure-works.com|100000.00|3|0|Bachelors|Management|0|3|9011 Tank Drive|Redmond|WA|98052|US|2013-03-23|1-2 Miles
11015|4|Chloe|NULL|Young|1984-08-26|S|F|chloe23@adventure-works.com|30000.00|0|0|Partial College|Skilled Manual|0|1|244 Willow Pass Road|Burbank|CA|91502|US|2013-01-18|5-10 Miles
11016|4|Wyatt|L|Hill|1984-10-25|M|M|wyatt32@adventure-works.com|30000.00|0|0|Partial College|Skilled Manual|1|1|9666 Northridge Ct.|Imperial Beach|CA|91932|US|2013-02-09|5-10 Miles
11017|9|Shannon|NULL|Wang|1949-12-24|S|F|shannon1@adventure-works.com|20000.00|4|0|High School|Skilled Manual|1|2|7330 Saddlehill Lane|Sunbury|VIC|3429|AU|2011-01-12|5-10 Miles
